H,	M,	RANGE,	YEAR,
55354,	52166,	5 a 9,	2011,
53926,	51536,	10 a 14,	2011,
57042,	53399,	15 a 19,	2011,
64806,	64337,	20 a 24,	2011,
77751,	79241,	25 a 29,	2011,
95464,	92617,	30 a 34,	2011,
103244,	97624,	35 a 39,	2011,
98405,	93721,	40 a 44,	2011,
89763,	86784,	45 a 49,	2011,
72652,	71074,	50 a 54,	2011,
59720,	60259,	55 a 59,	2011,
51424,	52651,	60 a 64,	2011,
44614,	46454,	65 a 69,	2011,
33372,	37832,	70 a 74,	2011,
27783,	35092,	75 a 79,	2011,
15549,	22990,	80 a 84,	2011,
7192,	12674,	85 a 89,	2011,
2242,	4951,	90 a 94,	2011,
673,	1632,	95 a 99,	2011,
103,	310,	100+,	2011,
51179,	48383,	0 a 4,	2010,
55420,	52292,	5 a 9,	2010,
53299,	51340,	10 a 14,	2010,
58272,	54549,	15 a 19,	2010,
66000,	65856,	20 a 24,	2010,
82323,	83289,	25 a 29,	2010,
97880,	93828,	30 a 34,	2010,
104121,	97977,	35 a 39,	2010,
97071,	92635,	40 a 44,	2010,
87147,	84014,	45 a 49,	2010,
69886,	68108,	50 a 54,	2010,
58315,	58572,	55 a 59,	2010,
50647,	52074,	60 a 64,	2010,
43497,	45264,	65 a 69,	2010,
32816,	37233,	70 a 74,	2010,
26622,	34008,	75 a 79,	2010,
14666,	21662,	80 a 84,	2010,
6713,	12174,	85 a 89,	2010,
2121,	4752,	90 a 94,	2010,
631,	1538,	95 a 99,	2010,
80,	265,	100+,	2010,
51541,	48701,	0 a 4,	2009,
55168,	52087,	5 a 9,	2009,
52852,	51012,	10 a 14,	2009,
59440,	55853,	15 a 19,	2009,
67409,	67623,	20 a 24,	2009,
86789,	86707,	25 a 29,	2009,
100239,	95051,	30 a 34,	2009,
103851,	97447,	35 a 39,	2009,
96599,	91700,	40 a 44,	2009,
83040,	80273,	45 a 49,	2009,
67378,	66015,	50 a 54,	2009,
56924,	56619,	55 a 59,	2009,
49801,	50960,	60 a 64,	2009,
40295,	42356,	65 a 69,	2009,
33641,	38471,	70 a 74,	2009,
25148,	32368,	75 a 79,	2009,
13696,	20614,	80 a 84,	2009,
6144,	11195,	85 a 89,	2009,
2060,	4691,	90 a 94,	2009,
537,	1381,	95 a 99,	2009,
84,	232,	100+,	2009,
51074,	48220,	0 a 4,	2008,
54239,	51137,	5 a 9,	2008,
52704,	52061,	10 a 14,	2008,
60148,	56923,	15 a 19,	2008,
68185,	68600,	20 a 24,	2008,
89636,	88636,	25 a 29,	2008,
101541,	95543,	30 a 34,	2008,
102455,	95236,	35 a 39,	2008,
95107,	89620,	40 a 44,	2008,
79339,	76531,	45 a 49,	2008,
64832,	63410,	50 a 54,	2008,
55489,	54503,	55 a 59,	2008,
48359,	49415,	60 a 64,	2008,
38085,	40096,	65 a 69,	2008,
33969,	39032,	70 a 74,	2008,
23630,	30784,	75 a 79,	2008,
13015,	19443,	80 a 84,	2008,
5682,	10430,	85 a 89,	2008,
2064,	4698,	90 a 94,	2008,
525,	1324,	95 a 99,	2008,
59,	189,	100+,	2008,
49172,	46347,	0 a 4,	2007,
52161,	50343,	5 a 9,	2007,
53411,	51644,	10 a 14,	2007,
